id,graduation,university_course,university,profession,activity,company,city,state,P1,P2,P3,P4,P5,P6
0x0153D28EE71991AB66A405FF6BD3E28BD213D853,Bacharelado,Engenharia de Materiais,UFRN,SEM EXPERIÊNCIA,,,NULL,NULL,4,TRUE,FALSE,4,Instagram,TRUE
0x0316BF7F36CA3F5D448F5ACBA075E018AC785692,Bacharelado,Direito,UEPB,Advogado,,Prefeitura Municipal de Picuí,NULL,NULL,0,FALSE,TRUE,0,Google,FALSE
0x05A00DBA384879D9223450BCF7F1DDB0F6F58B09,Bacharelado,ADMINISTRAÇÃO,UNIVERSIDADE PRESBITERIANA MACKENZIE,Analista,,Genial Investimentos,NULL,NULL,2,TRUE,TRUE,4,Google,FALSE
0x085E2462A5F6B795DFB91C0C9D40D3BD7C8B1DD8,Bacharelado,ADMINISTRAÇÃO,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,Gerente,,Space Hunters,NULL,NULL,4,FALSE,TRUE,3,Linkedin,TRUE
0x0A71F3D19404E140071DC159715BBC91BE03D35D,Bacharelado,CIÊNCIAS CONTÁBEIS,UFRJ,Analista Senior,FP&A,BNY MELLON,NULL,NULL,0,TRUE,TRUE,0,Saint Paul,TRUE
0x0AE46B6DBF77766768652C2EF08F1C516E822E20,Bacharelado,Adminstração,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Coordenador,"Sou coordenadora financeira (tesouraria, contas a pagar e cobrança)",IBQ INDUSTRIAS QUIMICAS S/A,NULL,NULL,4,TRUE,TRUE,3,Google,TRUE
0x0B575342DE6677D640D492F9B265672CC224F066,Bacharelado,ADMINISTRAÇÃO,ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO,Gerente,Experiencias - Expansão Rappi SP - KAM contas de Mercados Br - CPGs Leader RJ  - Lider KAMs regionais  - Líder vertical bebidas Rappi Br,Rappi,NULL,NULL,4,FALSE,TRUE,4,Saint Paul,TRUE
0x0ED3C675E8AC103EF14C68FA2F6B0D444C8CBFAF,MBA,Gestão Empresarial com Ênfase em TI,FGV-RJ,Sócio/ Dono / Proprietário,Consultoria financeira e de estratégia para investidores e empreendedores no segmento de empresas de pequeno e médio portes.,RIO TECNOLOGIA,NULL,NULL,4,TRUE,TRUE,4,YouTube,TRUE
0x121F5D18CF0B72A56AEEA41A28A91E1D99922404,MBA,Direito Corporativo e Compliance,Escola Paulista de Direito,Assessor,Assessora do Diretor de Gestão de Riscos e Compliance; Integrante Diretoria de Gestão de Riscos e Compliance.,Ernesto Borges Advogados,NULL,NULL,0,TRUE,TRUE,0,Linkedin,TRUE
0x13388A53DB24CF55CB758CEEE80CA6CC570C44A0,Especialização,CEFIN,Faculdade FIPECAFI,Analista Pleno,Analista de Custos Industrias com enfase na área comercial.,POLIMETRI,NULL,NULL,0,FALSE,TRUE,0,Outros,TRUE
0x14FE58C1CEAAE722F13B5F390C4B9A85C956889E,Bacharelado,Relacoes Internacionais,Unesp,Coordenador,,Procter Gamble,NULL,NULL,1,FALSE,FALSE,4,Saint Paul,TRUE
0x1599B78F6D13AD72B481436AF0BF31294F53DD80,Bacharelado,ADMINISTRAÇÃO,UNIVERSIDADE NOVE DE JULHO,Auditor,,Seguros Unimed,NULL,NULL,4,TRUE,TRUE,1,Minha empresa - benefício LITpass,FALSE
0x1C710B1CA4BC921803CF096A5B2BB48D55947E4D,MBA,MBA em Gestão de Negócios e Inovação,CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR,Coordenador,,Aniima Educação S.A,NULL,NULL,4,TRUE,TRUE,4,Saint Paul,TRUE
0x1D0B00771C27DFEAF0BA938DE25F4D439639E613,Bacharelado,Turismo,Universidade Metodista de Sao Paulo,Analista,,General Motors,NULL,NULL,4,TRUE,TRUE,3,Outros,TRUE
0x22D8D2B1DCA4173C943CA9C602C1C3B23A9C7053,BACHARELADO,ADMINISTRACAO DE EMPRESAS,UNIP,Gerente,RESPONSAVEL PELA AREA DE FATURAMENTO,Fnazca S&S PUBLICIDADE LTDA,NULL,NULL,4,FALSE,TRUE,4,Saint Paul,FALSE
0x23F759742BC5E28FF0B698E680E66E72CAE646AE,SEM FORMAÇÃO,,,SEM EXPERIÊNCIA,,,NULL,NULL,2,TRUE,TRUE,4,"Mídia (revista, jornais, sites)",TRUE
0x24E2CE3FDEDAB0842A6377464C89644DD7ECBD35,Especialização,Mercado Financeiro,Saint Paul,Engenheiro,Sou Engenheiro Agrônomo desejando me especializar em Mercado Financeiro,Serg Paulista,NULL,NULL,4,FALSE,FALSE,4,Saint Paul,FALSE
0x285FADF985B43055F26836305F3324E242379F23,MBA,financas,INSPER INSTITUTO DE ENSINO E PESQUISA,Gerente,"Financeiro na Becker Construção Civil, acompanhamento de orçamentos, budget, aplicações financeiras, custos de obras, emissão de boletos",Becker Construção Civil,NULL,NULL,2,FALSE,FALSE,4,Instagram,TRUE
0x2A63FB68E881F160D5CBAF8D0ADA3181E276C990,Bacharelado,contabilidade,UNIVERSIDADE NOVE DE JULHO,Operador Pleno,,Monte Bravo,NULL,NULL,1,FALSE,TRUE,2,Saint Paul,FALSE
0x2E5409786D5B375ACB105B78CA5FFEACF87A728C,Bacharelado,ADMINISTRAÇÃO,FECAP,Especialista,Atuo como especialista de Planejamento Financeiro.,Brenntag,NULL,NULL,4,TRUE,TRUE,3,Saint Paul,TRUE
0x30CF990ABA17CFAFC6B13D9373176457CC43889E,Especialização,ADMINISTRAÇÃO,Fundação Getúlio Vargas,Advogado,Advogada,Cristiana Alcântara sociedade individual de advocacia,NULL,NULL,0,FALSE,FALSE,0,Saint Paul,FALSE
0x32B96E601FF2CF4201C6BC1EDD484DAFA6EC290F,Licenciatura,ENGENHARIA ELÉTRICA,Escola Politécnica da USP,Diretor,,Prymsian Group,NULL,NULL,1,TRUE,TRUE,1,Minha empresa - benefício LITpass,TRUE
0x33DDDC0647607D0D16ACEFB20AC949C4DFB22E7F,Bacharelado,Ciências Contábeis,UNIP,Assistente,Contas a Receber:  Conferir o cálculo do pagamento recebido do cliente; Realizar a baixa no sistema da empresa; Organizar a documentação recebida dos pagamentos; Controlar o recebimento dos cheques enviados para custódia; Fazer análise de clientes;,QUEENSBERRY AGENCIA DE VIAGENS E TURISMO LTDA,NULL,NULL,0,TRUE,TRUE,1,Outros,FALSE
0x35E674E13C3ABB2E4EF5C00A15160EA25C0BA6A8,Bacharelado,Contabilidade,FACULDADE IBMEC,Auditor,,KPMG,NULL,NULL,0,FALSE,TRUE,0,Instagram,FALSE
0x3A52D464CE23B0C992CA6C39B7681A907853BC4B,Especialização,Mercado Financiero,Saint Paul,Analista Junior,Após a liberação de crédito sou responsável pelo acompanhamento e possíveis alterações no risco previamente atribuído ao cliente ou a operação de crédito,Banco Safra,NULL,NULL,2,FALSE,TRUE,4,Saint Paul,FALSE
0x3B4EEF623EBD3442961CAE2FAE9C010969EE3BD1,Bacharelado,Engenharia Agronômica,ESALQ,Analista Pleno,Planejamento Comercial,Raízen Energia,NULL,NULL,4,FALSE,FALSE,2,Google,FALSE
0x3C7FCE515F2004C6ADF16156F0210375CE2789AC,SEM FORMAÇÃO,,,SEM EXPERIÊNCIA,,,NULL,NULL,0,FALSE,TRUE,0,Outros,FALSE
0x3E082340A22B30E159D084E3336B2A481189AE72,Tecnólogo,Análise e Desenvolvimento de Sistemas,FACULDADE DE TECNOLOGIA DE SÃO PAULO,Especialista,,W1 Consultoria Financeira,NULL,NULL,4,TRUE,TRUE,2,Minha empresa - benefício LITpass,TRUE
0x42F4028ED7A065F3ABFA95C5246AD2180B8C0D77,MBA,Agronegócios e Agropecuária,PECEGE/USP,Engenheiro,"Sou subscritor de riscos, atuando na área patrimonial rural.",Mapfre Seguros Gerais,NULL,NULL,2,TRUE,TRUE,2,Saint Paul,FALSE
0x45A52AE9B1031A0B49E92B82CB96D0DC1AFAE471,Bacharelado,CIÊNCIAS CONTÁBEIS,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,Analista,"Tesouraria, contas a pagar, receber. Alinhar com a contabilidade informações financeiras Desenvolver e analisar P&L Administração do escritório",Tapps Ventures,NULL,NULL,4,TRUE,TRUE,3,Google,TRUE
0x49534A50886D061F49B33D529F10353917006807,Bacharelado,ADMINISTRAÇÃO,UNIVERSIDADE VEIGA DE ALMEIDA,Analista,"o Responsável pela área de comunicação interna, desenvolvimento organizacional e líder do time de Facilities.",brmalls,NULL,NULL,3,FALSE,TRUE,4,Linkedin,TRUE
0x531E6E1A9C21D045DA287E95824FA7A021D78B8D,Bacharelado,DIREITO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,Advogado,.,Galop Capital Ltda.,NULL,NULL,0,FALSE,TRUE,0,Google,FALSE
