id,graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,total_modulos,modulos_iniciados,modulos_finalizados,certificados,categoria
221164850.0,Licenciatura,UEPB,Advogado,Eletroeletronicos,,0.0,1.0,,Facebook,83.0,17.0,10.0,0.0,perfil4
605032710.0,Licenciatura,FATEC,Engenheiro,Eletrodomesticos,1.0,1.0,1.0,10.0,Minha empresa - benefício LITpass,,7.0,7.0,1.0,perfil1
272980782.0,Bacharelado,USP,Gerente,Siderurgica,0.0,0.0,1.0,5.0,Facebook,31.0,3.0,1.0,0.0,perfil6
916499667.0,SEM FORMAÇÃO,UNIVERSIDADE CRUZEIRO DO SUL,Sócio/Dono/Proprietário,,1.0,1.0,1.0,3.0,Instagram,31.0,4.0,2.0,0.0,perfil6
319967190.0,Bacharelado,,Coordenador,Siderurgica,1.0,1.0,1.0,4.0,Instagram,47.0,30.0,25.0,1.0,perfil1
,MBA,UFRJ,Assessor,Laminados,0.0,0.0,1.0,5.0,YouTube,29.0,16.0,15.0,0.0,perfil3
,SEM FORMAÇÃO,,Sócio/Dono/Proprietário,Oleo e Gas,,1.0,1.0,8.0,YouTube,126.0,20.0,7.0,0.0,perfil5
,Licenciatura,Universidade Metodista de Sao Paulo,Engenheiro,e-commerce,0.0,0.0,1.0,9.0,Linkedin,13.0,,13.0,0.0,perfil4
657431678.0,Tecnólogo,,Advogado,Eletroeletronicos,1.0,1.0,1.0,7.0,Outros,60.0,24.0,18.0,0.0,perfil3
516782875.0,Tecnólogo,,Analista Senior,Borracha,0.0,0.0,1.0,9.0,YouTube,143.0,32.0,12.0,0.0,perfil4
478777088.0,SEM FORMAÇÃO,UFSCar,Outros,Laminados,1.0,1.0,1.0,6.0,Facebook,69.0,19.0,14.0,0.0,perfil4
174988791.0,SEM FORMAÇÃO,FACULDADE ANHANGUERA,Diretor,e-commerce,1.0,1.0,1.0,5.0,Outros,27.0,10.0,8.0,0.0,perfil5
407727525.0,MBA,UFRN,,Siderurgica,,1.0,1.0,10.0,YouTube,29.0,17.0,13.0,0.0,perfil4
752833429.0,Licenciatura,UFSCar,Engenheiro,,1.0,1.0,1.0,5.0,Outros,,44.0,40.0,0.0,perfil2
,Licenciatura,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Advogado,Laminados,0.0,0.0,1.0,6.0,YouTube,30.0,4.0,1.0,0.0,perfil6
721051971.0,Especialização,FACULDADE ANHANGUERA,Supervisor,Siderurgica,1.0,1.0,1.0,2.0,Facebook,77.0,24.0,17.0,0.0,perfil3
